	logFC	AveExpr	t	P.Value	adj.P.Val	B	chemistry	mode	database	CustomStds	variable	significance	model_id	JGI_name	model_name	priority	annotation_source
60	3.10508300760706	24.1475253564543	13.3193162162935	4.43241909477134e-07	6.5546076310558e-06	6.9513112554071	HILIC	POS	EMA	False	peak_height	Up	C00262	hypoxanthine	Hypoxanthine	0	
171	-1.45540011778069	20.7629791391222	-13.1545793841874	4.91580238645509e-07	7.05562224879436e-06	6.84113168649311	HILIC	NEG	EMA	False	peak_height	Down	C00956	alpha-aminoadipic_acid	L-2-Aminoadipate	0	
90	-4.75129257761403	24.5841821985713	-12.4741664936976	7.63616146654899e-07	1.04095892693484e-05	6.37129823786774	HILIC	NEG	EMA	False	peak_height	Down	C00418	mevalonic_acid	(R)-Mevalonate (MEV)	0	
162	2.0514291617489	18.8327062992004	12.0182076871649	1.03852077699316e-06	1.20666223612539e-05	6.04239477713302	C18	POS	EMA	False	peak_height	Up	C00147	adenine	Adenine	0	
157	2.08020015915341	17.4213308469284	11.7843620031852	1.22089781103635e-06	1.3540866631494e-05	5.86906752494325	HILIC	POS	EMA	True	peak_height	Up	C00006	NADP	NADP	0	
160	-3.4054856640566	21.0606987473601	-11.1725093546368	1.89052179687493e-06	1.80896987622542e-05	5.39977184532075	HILIC	NEG	EMA	True	peak_height	Down	C00074	Phosphoenolpyruvate	Phosphoenolpyruvate (PEP)	0	
5	2.25638672922775	24.2208042147329	11.0731674459425	2.03366815050992e-06	1.87250954235631e-05	5.32132584220973	HILIC	POS	EMA	False	peak_height	Up	C00049	aspartic_acid	L-Aspartic acid (Asp-L)	0	
147	-1.58816693504761	22.220273885294	-10.8172287787214	2.46100898835367e-06	2.18358615693926e-05	5.11619512238093	HILIC	NEG	EMA	False	peak_height	Down	C02226	2-methylmaleic_acid	Citraconic acid	0	
75	-2.45515545910017	26.4145607033312	-10.6078456367993	2.88512723408334e-06	2.38634252581808e-05	4.9450477879601	HILIC	POS	EMA	False	peak_height	Down	C00047	lysine	L-Lysine (lys-L)	0	
137	3.02830567734572	19.1997357228303	10.2740132035518	3.73895121340195e-06	2.94291643893573e-05	4.66574080985124	HILIC	NEG	EMA	False	peak_height	Up	C00106	uracil	Uracil	0	
79	1.9281898898977	19.0249763604708	10.1796805046919	4.0284360303726e-06	3.12043933781243e-05	4.5853380408113	HILIC	NEG	EMA	False	peak_height	Up	C00392	mannitol	Mannitol	0	
11	-2.86868942878519	20.108338357034	-10.0048706943947	4.6327742734005e-06	3.32469683149918e-05	4.43457046317155	HILIC	NEG	EMA	True	peak_height	Down	C00197	3-phosphoglycerate	3-Phospho-D-glycerate (3PG)	0	
1	-1.21995433005829	24.4676034845924	-9.91429067497658	4.98487526128524e-06	3.37038386380593e-05	4.35552721303762	HILIC	NEG	EMA	False	peak_height	Down	C00062	arginine	L-Arginine (Arg-L)	0	
151	-1.31047765189487	18.3238527034173	-9.89590145825151	5.05991456260676e-06	3.37038386380593e-05	4.33940231153485	HILIC	NEG	ISTD	False	peak_height	Down	C00140	N-acetyl-glucosamine_unlabeled	N-Acetyl-D-glucosamine (GlcNAc)	0	
62	1.78564113391487	22.1255505748659	9.41144600219062	7.56640657425853e-06	4.7953329977119e-05	3.90485763046196	C18	POS	EMA	False	peak_height	Up	C00954	indole-3-acetate	Indole-3-acetate	0	
172	1.20975057670528	20.1749071146481	9.09969251643999	9.89424963715986e-06	6.19024849094104e-05	3.61488987381621	C18	POS	EMA	False	peak_height	Up	C00108	anthranilate	Anthranilate	0	
