query_name	pubchem_cid	first_synonym	smiles	inchi	inchikey	molecular_formula	molecular_weight	status	metabolite_name
mevalonate	4478250.0	CHEBI:25350	CC(CCO)(CC(=O)[O-])O	InChI=1S/C6H12O4/c1-6(10,2-3-7)4-5(8)9/h7,10H,2-4H2,1H3,(H,8,9)/p-1	KJTLQQUUPVSXIM-UHFFFAOYSA-M	C6H11O4-	147.15	found	mevalonate
indole-3-acetate	801.0	indole-3-acetate	C1=CC=C2C(=C1)C(=CN2)CC(=O)[O-]	InChI=1S/C10H9NO2/c12-10(13)5-7-6-11-9-4-2-1-3-8(7)9/h1-4,6,11H,5H2,(H,12,13)/p-1	SEOVTRFCIGRIMH-UHFFFAOYSA-M	C10H8NO2-	174.18	found	indole-3-acetate
glutamic_acid	33032.0	L-glutamic acid	C(CC(=O)O)C(C(=O)O)N	InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1	WHUUTDBJXJRKMK-VKHMYHEASA-N	C5H9NO4	147.13	found_with_underscore_fix	glutamic_acid
phenethylamine	1001.0	Phenethylamine	C1=CC=C(C=C1)CCN	InChI=1S/C8H11N/c9-7-6-8-4-2-1-3-5-8/h1-5H,6-7,9H2	BHHGXPLMPWCGHP-UHFFFAOYSA-N	C8H11N	121.18	found	phenethylamine
sn-glycerol_3-phosphoric_acid								not_found	sn-glycerol_3-phosphoric_acid
glycerol_2-phosphoric_acid								not_found	glycerol_2-phosphoric_acid
1-methyl-1_2_3_4-tetrahydrobeta-carboline-3-carboxylic_acid								not_found	1-methyl-1_2_3_4-tetrahydrobeta-carboline-3-carboxylic_acid
aspartic_acid	5960.0	L-aspartic acid	C(C(C(=O)O)N)C(=O)O	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1	CKLJMWTZIZZHCS-REOHCLBHSA-N	C4H7NO4	133.1	found_with_underscore_fix	aspartic_acid
aspartic_acid	5960.0	L-aspartic acid	C(C(C(=O)O)N)C(=O)O	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1	CKLJMWTZIZZHCS-REOHCLBHSA-N	C4H7NO4	133.1	found_with_underscore_fix	aspartic_acid_unlabeled
agmatine_sulfuric_acid								not_found	agmatine_sulfuric_acid
n-acetyl-phenylalanine	74839.0	N-Acetyl-L-phenylalanine	CC(=O)NC(CC1=CC=CC=C1)C(=O)O	InChI=1S/C11H13NO3/c1-8(13)12-10(11(14)15)7-9-5-3-2-4-6-9/h2-6,10H,7H2,1H3,(H,12,13)(H,14,15)/t10-/m0/s1	CBQJSKKFNMDLON-JTQLQIEISA-N	C11H13NO3	207.23	found	n-acetyl-phenylalanine
hypoxanthine	135398638.0	hypoxanthine	C1=NC2=C(N1)C(=O)NC=N2	InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)	FDGQSTZJBFJUBT-UHFFFAOYSA-N	C5H4N4O	136.11	found	hypoxanthine
hypoxanthine	135398638.0	hypoxanthine	C1=NC2=C(N1)C(=O)NC=N2	InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)	FDGQSTZJBFJUBT-UHFFFAOYSA-N	C5H4N4O	136.11	found	hypoxanthine_unlabeled
methyl_2-amino-2-phenylacetate	117324.0	26682-99-5	COC(=O)C(C1=CC=CC=C1)N	InChI=1S/C9H11NO2/c1-12-9(11)8(10)7-5-3-2-4-6-7/h2-6,8H,10H2,1H3	BHFLUDRTVIDDOR-UHFFFAOYSA-N	C9H11NO2	165.19	found_with_underscore_fix	methyl_2-amino-2-phenylacetate
pantothenic_acid	6613.0	pantothenic acid	CC(C)(CO)C(C(=O)NCCC(=O)O)O	InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)/t7-/m0/s1	GHOKWGTUZJEAQD-ZETCQYMHSA-N	C9H17NO5	219.23	found_with_underscore_fix	pantothenic_acid
adenosine_5monophosphoric_acid								not_found	adenosine_5monophosphoric_acid
lumichrome	5326566.0	lumichrome	CC1=CC2=C(C=C1C)N=C3C(=N2)C(=O)NC(=O)N3	InChI=1S/C12H10N4O2/c1-5-3-7-8(4-6(5)2)14-10-9(13-7)11(17)16-12(18)15-10/h3-4H,1-2H3,(H2,14,15,16,17,18)	ZJTJUVIJVLLGSP-UHFFFAOYSA-N	C12H10N4O2	242.23	found	lumichrome
AMP	6083.0	5'-adenylic acid	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N	InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1	UDMBCSSLTHHNCD-KQYNXXCUSA-N	C10H14N5O7P	347.22	found	AMP
n-acetyleucine								not_found	n-acetyleucine
glutamic_acid	33032.0	L-glutamic acid	C(CC(=O)O)C(C(=O)O)N	InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1	WHUUTDBJXJRKMK-VKHMYHEASA-N	C5H9NO4	147.13	found_with_underscore_fix	glutamic_acid_unlabeled
glutamic_acid	33032.0	L-glutamic acid	C(CC(=O)O)C(C(=O)O)N	InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1	WHUUTDBJXJRKMK-VKHMYHEASA-N	C5H9NO4	147.13	found_with_underscore_fix	glutamic_acid
histidine	6274.0	L-histidine	C1=C(NC=N1)CC(C(=O)O)N	InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1	HNDVDQJCIGZPNO-YFKPBYRVSA-N	C6H9N3O2	155.15	found	histidine
histidine	6274.0	L-histidine	C1=C(NC=N1)CC(C(=O)O)N	InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1	HNDVDQJCIGZPNO-YFKPBYRVSA-N	C6H9N3O2	155.15	found	histidine_unlabeled
pyruvic_acid	1060.0	Pyruvic acid	CC(=O)C(=O)O	InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)	LCTONWCANYUPML-UHFFFAOYSA-N	C3H4O3	88.06	found_with_underscore_fix	pyruvic_acid_unlabeled
pyruvic_acid	1060.0	Pyruvic acid	CC(=O)C(=O)O	InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)	LCTONWCANYUPML-UHFFFAOYSA-N	C3H4O3	88.06	found_with_underscore_fix	pyruvic_acid
Pyruvate	107735.0	pyruvate	CC(=O)C(=O)[O-]	InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)/p-1	LCTONWCANYUPML-UHFFFAOYSA-M	C3H3O3-	87.05	found	Pyruvate
2-amino-2-methylpropanoic_acid	6119.0	2-Aminoisobutyric acid	CC(C)(C(=O)O)N	InChI=1S/C4H9NO2/c1-4(2,5)3(6)7/h5H2,1-2H3,(H,6,7)	FUOOLUPWFVMBKG-UHFFFAOYSA-N	C4H9NO2	103.12	found_with_underscore_fix	2-amino-2-methylpropanoic_acid
